zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
60096,"10,062","2,370",0.235539654,792,110,"4,635",734,396,733,272,862,182,"2,136",504,904,172
60097,"15,406","3,243",0.210502402,674,29,"7,366",868,739,"1,515",427,"1,580",427,"3,077",479,"1,194",274
60098,"46,068","12,453",0.270317791,"2,742",251,"21,663","3,901","2,200","3,764","1,046","4,504","1,356","9,412","2,837","3,983",862
60099,"41,769","6,492",0.155426273,"3,485",120,"19,142","2,204",982,"4,103",579,"3,643",724,"7,940","1,524","3,456",359
60101,"55,179","10,602",0.192138313,"3,713",368,"25,733","3,720","1,397","6,208","1,474","4,608",953,"9,954","1,863","4,963",827
60102,"45,899","18,934",0.412514434,"3,085",294,"21,407","6,053","3,267","2,891","1,530","4,922","2,580","10,333","4,248","3,261",962
60103,"60,066","25,676",0.427463124,"2,828",384,"28,619","8,578","4,068","4,759","2,363","6,038","2,935","13,432","6,079","4,390","1,269"
60104,"26,894","3,968",0.147542203,"2,034",118,"12,430","1,204",721,"2,535",502,"2,617",409,"4,906",781,"2,372",233
60106,"28,807","4,885",0.169576839,"2,065",223,"13,371","1,741",590,"3,213",666,"2,611",439,"5,212",793,"2,335",433
60107,"59,330","17,342",0.29229732,"3,368",396,"27,981","6,124","2,349","6,385","2,429","6,423","2,380","11,043","2,941","4,130",723
60108,"36,516","13,225",0.362170008,"1,548",359,"17,484","4,328","2,105","3,263","1,569","3,101","1,412","7,021","2,559","4,099",893
60109,822,160,0.194647202,70,0,376,47,33,40,9,75,20,230,45,31,6
60110,"48,924","9,563",0.195466438,"3,836",215,"22,544","3,193","1,481","6,193","1,437","5,835","1,159","8,205","1,791","2,311",287
60111,486,218,0.448559671,0,0,243,42,67,0,0,7,7,141,45,95,57
60112,"5,491","1,603",0.291932253,525,63,"2,483",522,248,783,314,845,275,720,181,135,0
60113,488,58,0.118852459,54,2,217,21,7,36,12,37,6,113,5,31,5
