zipcode,male,white,median_age
61745,0.49,0.94,38.2
61747,0.47,0.99,46.4
61748,0.48,0.98,40.1
61749,0.49,0.99,47.9
61750,0.65,0.87,25.6
61751,0.46,1.00,49.3
61752,0.49,1.00,43.5
61753,0.49,0.98,42.1
61754,0.47,0.99,51
61755,0.50,0.98,41.4
61756,0.53,0.94,42.7
61759,0.52,0.99,45
61760,0.48,0.99,42
61761,0.47,0.82,24.7
61764,0.54,0.87,41
61769,0.51,0.87,45.4
61770,0.46,0.98,44.3
61771,0.50,0.98,38
61772,0.50,1.00,54.8
61773,0.52,0.99,44.1
61774,0.61,0.98,34
61775,0.50,0.99,40.5
61776,0.50,0.96,49.3
61777,0.47,0.95,48.3
61778,0.44,1.00,35
61801,0.51,0.58,23.8
61802,0.47,0.72,38.2
61810,0.45,0.94,39.9
61811,0.47,0.94,43.1
61812,0.49,0.90,52.5
61813,0.48,0.96,44.6
61814,0.47,0.95,43.4
61815,0.60,0.97,50
61816,0.48,0.99,46.3
61817,0.50,0.99,43.2
61818,0.50,0.99,36
61820,0.54,0.66,22.4
61821,0.49,0.65,35.2
61822,0.50,0.67,38.9
61830,0.50,0.96,44.7
61831,0.57,1.00,59.2
61832,0.47,0.69,37.5
61833,0.48,0.98,45.7
61834,0.61,0.84,43.5
61839,0.48,0.98,37
61840,0.57,1.00,55.6
61841,0.51,0.99,39.3
61842,0.48,0.97,49.5
61843,0.48,0.97,35.5
61844,0.44,0.97,55.7
61845,0.51,1.00,59.8
61846,0.50,0.94,41.9
61847,0.49,0.98,44.7
61848,0.48,1.00,37
61849,0.55,0.99,40.5
61850,0.48,0.99,44.5
61851,0.51,1.00,43.8
61852,0.53,0.96,32.3
61853,0.47,0.97,36.7
61854,0.47,0.98,45.8
61855,0.50,1.00,51.6
61856,0.50,0.96,42
61857,0.56,1.00,39
61858,0.46,0.98,39.2
61859,0.51,0.98,42.4
61862,0.51,0.98,46.1
61863,0.46,0.84,43.3
61864,0.50,1.00,42.2
61865,0.51,0.95,34.4
61866,0.47,0.68,31.5
61870,0.54,0.97,44.9
61871,0.53,0.99,44.5
61872,0.44,0.92,55.8
61873,0.50,0.98,38
61874,0.44,0.74,34.2
61875,0.40,0.99,33
61876,0.45,0.99,45.6
61877,0.51,0.97,36.5
